timestep,walltime_sec,ep_rew_mean,ep_len_mean
20480,2.16,107.1073,92.69
40960,5.05,107.0525,90.94
61440,7.90,112.3927,93.99
81920,10.76,118.5386,92.69
102400,13.54,121.2998,93.42
122880,16.50,125.6675,90.85
143360,19.29,129.5622,92.57
163840,22.06,134.2451,88.04
184320,24.86,144.5177,88.50
204800,27.66,151.6114,90.70
225280,30.70,160.9926,89.53
245760,33.58,180.6274,98.80
266240,36.51,205.4749,110.37
286720,39.41,219.8396,99.88
307200,42.28,236.6445,104.42
327680,45.30,244.8880,102.50
348160,48.18,256.9049,104.59
368640,51.08,258.7495,102.97
389120,54.00,255.5599,99.67
409600,56.85,283.8450,111.06
430080,59.77,310.2712,122.68
450560,62.58,322.3696,119.55
471040,65.41,341.2339,123.25
491520,68.18,372.6381,133.53
512000,70.99,391.2051,133.58
532480,73.91,410.3760,141.65
552960,76.72,418.4799,144.08
573440,79.55,452.1000,152.42
593920,82.38,490.3854,159.71
614400,85.26,516.0665,162.40
634880,88.26,566.2867,167.48
655360,91.07,694.8782,189.70
675840,93.89,805.2872,209.38
696320,96.80,950.8468,232.94
716800,99.64,949.2130,228.21
737280,102.62,1043.7851,247.34
757760,105.48,1103.7656,259.36
778240,108.31,1224.9172,281.28
798720,111.10,1370.4464,308.04
819200,113.90,1399.7562,313.15
839680,116.86,1575.8741,347.50
860160,119.68,1638.9693,357.75
880640,122.46,1754.4957,383.52
901120,125.25,1685.6106,371.86
921600,128.01,1598.1251,350.88
942080,130.98,1789.2641,385.44
962560,133.76,1991.7945,424.94
983040,136.52,2171.4200,460.68
1003520,139.34,2389.5420,502.76
1024000,142.09,2328.4413,487.51
1044480,144.98,2161.2941,451.37
1064960,147.74,2159.4344,450.13
1085440,150.57,2403.6192,495.45
1105920,153.34,2318.3308,475.63
1126400,156.19,2321.4148,472.38
1146880,159.13,2369.1008,480.74
1167360,161.92,2357.3975,480.79
1187840,164.73,2481.5011,502.96
1208320,167.56,2572.6915,519.39
1228800,170.48,2804.7649,560.91
1249280,173.44,2777.1300,553.73
1269760,176.31,2697.3198,535.37
1290240,179.15,2838.1083,561.05
1310720,182.02,2983.8636,587.24
1331200,184.97,3217.8154,626.84
1351680,188.03,3538.1152,681.83
1372160,191.01,3703.2792,706.70
1392640,193.96,3805.9381,719.10
1413120,196.90,3815.9972,714.63
1433600,199.90,3784.4406,702.56
1454080,202.92,3873.0475,712.86
1474560,205.89,3888.6886,711.00
1495040,208.79,3960.7458,722.04
1515520,211.76,3950.4290,719.06
1536000,214.70,3917.4972,712.88
1556480,217.76,3885.5966,707.01
1576960,220.80,3804.3462,692.19
1597440,223.76,3692.3648,670.79
1617920,226.82,3720.7840,673.51
1638400,229.80,3866.8794,698.51
1658880,232.96,4045.9129,728.09
1679360,235.96,4134.6433,743.35
1699840,238.82,4040.0206,727.73
1720320,241.78,4076.7044,733.75
1740800,244.70,3912.3025,707.29
1761280,247.73,3904.8462,706.23
1781760,250.63,3870.0904,701.51
1802240,253.59,3905.2826,707.98
1822720,256.64,4064.5211,735.07
1843200,259.58,4109.3187,741.70
1863680,262.68,4262.2073,765.61
1884160,265.60,4327.9145,774.61
1904640,268.50,4330.8821,774.19
1925120,271.47,4280.8384,764.75
1945600,274.42,4336.6843,773.65
1966080,277.44,4213.2119,751.71
1986560,280.36,4122.4072,735.83
2007040,283.31,4020.8662,717.79
2027520,286.20,4114.8586,732.54
2048000,289.10,4068.1884,723.99
2068480,292.18,4133.8132,734.18
2088960,295.17,4246.4396,753.51
2109440,298.09,4315.8280,764.65
2129920,301.03,4356.2715,770.74
2150400,303.99,4377.2531,773.47
2170880,307.12,4412.5508,777.72
2191360,310.08,4358.1310,768.30
2211840,312.99,4241.4753,747.04
2232320,315.93,4210.2779,741.55
2252800,318.87,4090.3602,721.60
2273280,322.00,4101.6114,723.16
2293760,324.97,4161.6372,733.84
2314240,327.87,4318.4883,760.22
2334720,330.75,4190.2048,739.96
2355200,333.64,4051.2787,717.38
2375680,336.86,4030.4058,714.55
2396160,339.95,4082.9940,723.24
2416640,342.96,4274.9517,757.30
2437120,346.03,4339.5982,768.46
2457600,349.17,4398.6773,777.34
2478080,352.36,4310.8571,761.49
2498560,355.54,4315.0196,761.10
2519040,358.65,4305.7181,759.16
2539520,361.80,4259.6960,751.06
2560000,364.95,4321.1707,762.53
2580480,368.26,4345.2400,765.66
2600960,371.43,4344.5438,764.57
2621440,374.54,4411.9980,776.03
2641920,377.71,4399.6322,773.31
2662400,381.04,4421.0100,776.84
2682880,384.46,4422.3498,776.84
2703360,387.76,4310.4487,758.22
2723840,390.99,4356.7845,764.93
2744320,394.09,4236.1371,746.51
2764800,397.30,4210.4541,743.27
2785280,400.72,4261.3901,753.19
2805760,403.91,4262.0945,754.19
2826240,407.13,4280.1455,756.65
2846720,410.53,4170.0985,737.53
2867200,413.66,4188.1954,741.12
2887680,416.95,4249.1639,750.04
