t,acc.x,acc.y,acc.z,gyro.x,gyro.y,gyro.z,policy.abort_reason,policy.act0,policy.armed,policy.mode,policy.p_err,policy.thrust_units,policy.tilt_deg,policy.vbat,stateEstimate.x,stateEstimate.y,stateEstimate.yaw,stateEstimate.z
0.110,,,,,,,0,0.5261644124984741,0,0,0.09438859671354294,45786.28125,3.479921579360962,4.053958892822266,,,,
0.112,,,,0.06211232766509056,0.18936046957969666,,,,,,,,,,2.7073593139648438,0.8882830142974854,-91.01472473144531,0.7355561852455139
0.113,0.02983180806040764,-0.05235219746828079,0.9962013363838196,,,-0.3687626123428345,,,,,,,,,,,,
0.211,,,,,,,0,0.5261644124984741,0,0,0.09438859671354294,45786.28125,3.479921579360962,4.053958892822266,,,,
0.212,,,,-0.0948476567864418,0.06628387421369553,,,,,,,,,,2.698559284210205,0.8862040638923645,-91.14933013916016,0.7339380383491516
0.214,0.033805981278419495,-0.05356385558843613,0.999165952205658,,,0.25571581721305847,,,,,,,,,,,,
0.312,,,,,,,0,0.5261644124984741,0,0,0.09438859671354294,45786.28125,3.479921579360962,4.053958892822266,,,,
0.314,,,,-0.2006825953722,-0.09907235205173492,,,,,,,,,,2.7096893787384033,0.8850491642951965,-91.15692901611328,0.729825496673584
0.315,0.03195831552147865,-0.04766205698251724,0.9978933334350586,,,0.4278178811073303,,,,,,,,,,,,
0.410,,,,,,,0,0.5261644124984741,0,0,0.09438859671354294,45786.28125,3.479921579360962,4.053958892822266,,,,
0.412,,,,-0.33575141429901123,0.22003553807735443,,,,,,,,,,2.7091612815856934,0.8851252794265747,-91.25299072265625,0.7298005223274231
0.413,0.03444996848702431,-0.04902265965938568,0.9982337355613708,,,-0.1973292976617813,,,,,,,,,,,,
0.510,,,,,,,0,0.5261644124984741,0,0,0.09438859671354294,45786.28125,3.479921579360962,4.053958892822266,,,,
0.512,,,,0.09862610697746277,0.21659153699874878,,,,,,,,,,2.7092702388763428,0.8851399421691895,-90.99222564697266,0.7295547127723694
0.513,0.031066691502928734,-0.053873319178819656,0.9963955283164978,,,-0.26849523186683655,,,,,,,,,,,,
0.610,,,,,,,0,0.5261644124984741,0,0,0.09438859671354294,45786.28125,3.479921579360962,4.053958892822266,,,,
0.612,,,,0.23610639572143555,-0.3978879153728485,,,,,,,,,,2.7091727256774902,0.8851464986801147,-91.00947570800781,0.7292407155036926
0.613,0.030039837583899498,-0.048246655613183975,0.999984622001648,,,0.13091182708740234,,,,,,,,,,,,
0.710,,,,,,,0,0.5261644124984741,0,0,0.09438859671354294,45786.28125,3.479921579360962,4.053958892822266,,,,
0.713,,,,0.21990545094013214,0.37596556544303894,,,,,,,,,,2.7092397212982178,0.8851012587547302,-90.92552185058594,0.730815052986145
0.714,0.03659413382411003,-0.053656090050935745,1.0020774602890015,,,0.1896747648715973,,,,,,,,,,,,
0.812,,,,,,,0,0.5261644124984741,0,0,0.09438859671354294,45786.28125,3.479921579360962,4.053958892822266,,,,
0.814,,,,0.0040830206125974655,-0.320517361164093,,,,,,,,,,2.7092456817626953,0.8848925232887268,-90.9239501953125,0.7311884164810181
0.815,0.032345812767744064,-0.050333235412836075,0.9972105622291565,,,0.017280610278248787,,,,,,,,,,,,
0.910,,,,,,,0,0.5261644124984741,0,0,0.09438859671354294,45786.28125,3.479921579360962,4.053958892822266,,,,
