t,lighthouse.status,lighthouse.bsReceive,lighthouse.bsActive,lighthouse.bsGeoVal,lighthouse.bsCalVal,lighthouse.bsCalCon,lighthouse.bsCalUd,lighthouse.comSync,stateEstimate.x,stateEstimate.y,stateEstimate.z
0.112,2,15,15,15,15,15,0,1,-0.43052300810813904,-0.19426117837429047,-0.009330269880592823
0.212,2,15,15,15,15,15,0,1,-0.4308488667011261,-0.19449298083782196,-0.009751200675964355
0.312,2,15,15,15,15,15,0,1,-0.43038618564605713,-0.19479306042194366,-0.0089980224147439
0.412,2,15,15,15,15,15,0,1,-0.4285055696964264,-0.1944068819284439,-0.008087539114058018
0.511,2,15,15,15,15,15,0,1,-0.42832431197166443,-0.19465242326259613,-0.007567820139229298
0.611,2,15,15,15,15,15,0,1,-0.4300987422466278,-0.19466152787208557,-0.008251016028225422
0.711,2,15,15,15,15,15,0,1,-0.43004676699638367,-0.19355127215385437,-0.008318866603076458
0.811,2,15,15,15,15,15,0,1,-0.4287509620189667,-0.19465357065200806,-0.008721383288502693
0.912,2,15,15,15,15,15,0,1,-0.4290122389793396,-0.19436444342136383,-0.008016911335289478
1.011,2,15,15,15,15,15,0,1,-0.42966726422309875,-0.19355955719947815,-0.008436130359768867
1.113,2,15,15,15,15,15,0,1,-0.43027588725090027,-0.19508731365203857,-0.008668961003422737
1.213,2,15,15,15,15,15,0,1,-0.42779815196990967,-0.19501087069511414,-0.008067828603088856
1.311,2,15,15,15,15,15,0,1,-0.42919594049453735,-0.19397667050361633,-0.008501383475959301
1.412,2,15,15,15,15,15,0,1,-0.42847999930381775,-0.194760262966156,-0.008019685745239258
1.514,2,15,15,15,15,15,0,1,-0.4294026792049408,-0.19339226186275482,-0.007806848268955946
1.614,2,15,15,15,15,15,0,1,-0.42876753211021423,-0.19429819285869598,-0.008008401840925217
1.711,2,15,15,15,15,15,0,1,-0.42828643321990967,-0.19460643827915192,-0.007813609205186367
1.810,2,15,15,15,15,15,0,1,-0.4295555055141449,-0.19566768407821655,-0.009038868360221386
1.910,2,15,15,15,15,15,0,1,-0.42992573976516724,-0.19436097145080566,-0.009078209288418293
2.010,2,15,15,15,15,15,0,1,-0.4303923547267914,-0.1944740116596222,-0.009280872531235218
2.110,2,15,15,15,15,15,0,1,-0.43034347891807556,-0.19517843425273895,-0.009433004073798656
2.210,2,15,15,15,15,15,0,1,-0.43043652176856995,-0.19571956992149353,-0.008920478634536266
2.311,2,15,15,15,15,15,0,1,-0.42860493063926697,-0.19599385559558868,-0.008468196727335453
2.410,2,15,15,15,15,15,0,1,-0.4281226694583893,-0.19561591744422913,-0.008040082640945911
2.510,2,14,14,15,15,15,0,1,-0.4295431077480316,-0.1951039582490921,-0.008138399571180344
2.610,2,14,14,15,15,15,0,1,-0.4285631477832794,-0.1949416846036911,-0.008644184097647667
2.710,2,15,15,15,15,15,0,1,-0.4294697940349579,-0.19500969350337982,-0.009444142691791058
2.813,2,15,15,15,15,15,0,1,-0.43023744225502014,-0.19521453976631165,-0.008523109368979931
2.909,2,15,15,15,15,15,0,1,-0.4306430220603943,-0.1956353336572647,-0.009253610856831074
3.010,2,15,15,15,15,15,0,1,-0.4283442497253418,-0.19426539540290833,-0.008378380909562111
3.115,2,15,15,15,15,15,0,1,-0.4293750822544098,-0.19383901357650757,-0.00858659204095602
3.211,2,15,15,15,15,15,0,1,-0.42973580956459045,-0.1945592761039734,-0.0088287852704525
3.309,2,15,15,15,15,15,0,1,-0.4305601418018341,-0.1953531950712204,-0.009065724909305573
3.410,2,15,15,15,15,15,0,1,-0.4301019012928009,-0.1942271888256073,-0.009215809404850006
3.509,2,15,15,15,15,15,0,1,-0.4303330183029175,-0.19466207921504974,-0.009061646647751331
3.610,2,15,15,15,15,15,0,1,-0.4295963943004608,-0.19582295417785645,-0.009695306420326233
3.712,2,15,15,15,15,15,0,1,-0.42933207750320435,-0.1935400515794754,-0.008867938071489334
3.809,2,15,15,15,15,15,0,1,-0.4292280972003937,-0.19502215087413788,-0.008212803862988949
3.909,2,15,15,15,15,15,0,1,-0.42953988909721375,-0.19459274411201477,-0.008644472807645798
4.010,2,15,15,15,15,15,0,1,-0.42800474166870117,-0.19572891294956207,-0.00883194338530302
4.109,2,15,15,15,15,15,0,1,-0.42834150791168213,-0.1946263164281845,-0.008358943276107311
4.209,2,15,15,15,15,15,0,1,-0.4288044273853302,-0.19446802139282227,-0.008484166115522385
4.308,2,15,15,15,15,15,0,1,-0.4305514991283417,-0.19423803687095642,-0.008803483098745346
4.412,2,15,15,15,15,15,0,1,-0.43004366755485535,-0.1943257451057434,-0.008796055801212788
4.509,2,15,15,15,15,15,0,1,-0.42995917797088623,-0.19465330243110657,-0.008524179458618164
4.608,2,15,15,15,15,15,0,1,-0.4304405152797699,-0.19554147124290466,-0.0081474082544446
4.709,2,15,15,15,15,15,0,1,-0.42976194620132446,-0.19349175691604614,-0.00813871156424284
4.808,2,15,15,15,15,15,0,1,-0.42945218086242676,-0.19581402838230133,-0.009281662292778492
4.909,2,15,15,15,15,15,0,1,-0.4296361804008484,-0.19644379615783691,-0.009036402218043804
5.008,2,15,15,15,15,15,0,1,-0.42886650562286377,-0.19636712968349457,-0.009617196395993233
5.109,2,12,12,15,15,15,0,1,-0.42918679118156433,-0.19613340497016907,-0.00984780490398407
5.208,2,12,12,15,15,15,0,1,-0.4279707968235016,-0.19532421231269836,-0.00859897118061781
5.311,2,14,14,15,15,15,0,1,-0.4274665415287018,-0.19476549327373505,-0.008242824114859104
5.411,2,14,14,15,15,15,0,1,-0.4286768138408661,-0.19469943642616272,-0.008586817421019077
5.508,2,15,15,15,15,15,0,1,-0.4280259609222412,-0.19491709768772125,-0.008032732643187046
5.611,2,15,15,15,15,15,0,1,-0.42944929003715515,-0.19466784596443176,-0.008419901132583618
5.711,2,15,15,15,15,15,0,1,-0.4288930296897888,-0.19417180120944977,-0.00808175839483738
5.808,2,15,15,15,15,15,0,1,-0.42876699566841125,-0.1960587054491043,-0.009165056049823761
5.908,2,15,15,15,15,15,0,1,-0.42881137132644653,-0.19674792885780334,-0.00972156971693039
6.008,2,15,15,15,15,15,0,1,-0.42961791157722473,-0.19335529208183289,-0.00821599643677473
6.108,2,15,15,15,15,15,0,1,-0.4291469156742096,-0.19362494349479675,-0.007873667404055595
6.207,2,15,15,15,15,15,0,1,-0.42891156673431396,-0.19346141815185547,-0.00679972255602479
6.309,2,15,15,15,15,15,0,1,-0.42943981289863586,-0.19420449435710907,-0.008589285425841808
6.407,2,15,15,15,15,15,0,1,-0.42795825004577637,-0.19470827281475067,-0.008255384862422943
6.510,2,15,15,15,15,15,0,1,-0.4301143288612366,-0.19469115138053894,-0.008825375698506832
6.607,2,15,15,15,15,15,0,1,-0.42871758341789246,-0.19573542475700378,-0.009217766113579273
6.707,2,15,15,15,15,15,0,1,-0.4300617575645447,-0.1943369358778,-0.009025142528116703
6.807,2,15,15,15,15,15,0,1,-0.42929789423942566,-0.19594033062458038,-0.008838595822453499
6.907,2,15,15,15,15,15,0,1,-0.42938360571861267,-0.19493110477924347,-0.008475109003484249
7.007,2,15,15,15,15,15,0,1,-0.42848241329193115,-0.19535620510578156,-0.00853045005351305
7.107,2,15,15,15,15,15,0,1,-0.4289495050907135,-0.19476847350597382,-0.008761254139244556
7.207,2,15,15,15,15,15,0,1,-0.4295279383659363,-0.19340185821056366,-0.008513277396559715
7.308,2,15,15,15,15,15,0,1,-0.43007874488830566,-0.1953764706850052,-0.008879284374415874
