t,mode,armed,roll,pitch,yaw,thrust_pct,z,tilt,policy_thrust_pct,vbat
0.001,STOCK (your sticks),0,0.0,0.0,-0.0,1.2,51.051,0.0,0.0,3.70
0.024,STOCK (your sticks),0,0.0,0.0,-0.0,2.4,51.020,0.0,0.0,3.70
0.049,STOCK (your sticks),0,0.0,0.0,-0.0,3.6,51.020,0.0,0.0,3.70
0.072,STOCK (your sticks),0,0.0,0.0,-0.0,4.8,51.020,0.0,0.0,3.70
0.097,STOCK (your sticks),0,0.0,0.0,-0.0,6.0,51.020,0.0,0.0,3.70
0.118,STOCK (your sticks),0,0.0,0.0,-0.0,7.2,51.001,0.0,0.0,3.70
0.143,STOCK (your sticks),0,0.0,0.0,-0.0,8.4,51.001,0.0,0.0,3.70
0.164,STOCK (your sticks),0,0.0,0.0,-0.0,9.6,51.001,0.0,0.0,3.70
0.189,STOCK (your sticks),0,0.0,0.0,-0.0,10.8,51.001,0.0,0.0,3.70
0.214,STOCK (your sticks),0,0.0,0.0,-0.0,12.0,51.001,0.0,0.0,3.70
0.237,STOCK (your sticks),0,0.0,0.0,-0.0,13.2,51.001,0.0,0.0,3.70
0.258,STOCK (your sticks),0,0.0,0.0,-0.0,14.4,51.001,0.0,0.0,3.70
0.283,STOCK (your sticks),0,0.0,0.0,-0.0,15.6,51.001,0.0,0.0,3.70
0.306,STOCK (your sticks),0,0.0,0.0,-0.0,16.8,51.011,0.0,0.0,3.70
0.331,STOCK (your sticks),0,0.0,0.0,-0.0,18.0,51.011,0.0,0.0,3.70
0.356,STOCK (your sticks),0,0.0,0.0,-0.0,19.2,51.011,0.0,0.0,3.70
0.381,STOCK (your sticks),0,0.0,0.0,-0.0,20.4,51.011,0.0,0.0,3.70
0.402,STOCK (your sticks),0,0.0,0.0,-0.0,21.6,51.011,0.0,0.0,3.70
0.427,STOCK (your sticks),0,0.0,0.0,-0.0,22.8,51.011,0.0,0.0,3.70
0.450,STOCK (your sticks),0,0.0,0.0,-0.0,24.0,51.011,0.0,0.0,3.70
0.475,STOCK (your sticks),0,0.0,0.0,-0.0,25.2,51.011,0.0,0.0,3.70
0.499,STOCK (your sticks),0,0.0,0.0,-0.0,26.4,51.011,0.0,0.0,3.70
0.524,STOCK (your sticks),0,0.0,0.0,-0.0,27.6,51.040,0.0,0.0,3.70
0.547,STOCK (your sticks),0,0.0,0.0,-0.0,28.8,51.078,0.0,0.0,3.70
0.568,STOCK (your sticks),0,0.0,0.0,-0.0,30.0,51.078,0.0,0.0,3.70
0.592,STOCK (your sticks),0,0.0,0.0,-0.0,31.2,51.078,0.0,0.0,3.70
0.617,STOCK (your sticks),0,0.0,0.0,-0.0,32.4,51.078,0.0,0.0,3.70
0.640,STOCK (your sticks),0,0.0,0.0,-0.0,33.6,51.201,0.0,0.0,3.70
0.663,STOCK (your sticks),0,0.0,0.0,-0.0,34.8,51.201,0.0,0.0,3.70
0.688,STOCK (your sticks),0,0.0,0.0,-0.0,36.0,51.201,0.0,0.0,3.70
0.713,STOCK (your sticks),0,0.0,0.0,-0.0,37.2,51.201,0.0,0.0,3.70
0.738,STOCK (your sticks),0,0.0,0.0,-0.0,38.4,51.201,0.0,0.0,3.70
0.761,STOCK (your sticks),0,0.0,0.0,-0.0,39.6,51.201,0.0,0.0,3.70
0.785,STOCK (your sticks),0,0.0,0.0,-0.0,40.8,51.201,0.0,0.0,3.70
0.810,STOCK (your sticks),0,0.0,0.0,-0.0,42.0,51.201,0.0,0.0,3.70
0.833,STOCK (your sticks),0,0.0,0.0,-0.0,43.2,51.469,0.0,0.0,3.70
0.854,STOCK (your sticks),0,0.0,0.0,-0.0,44.4,51.469,0.0,0.0,3.70
0.875,STOCK (your sticks),0,0.0,0.0,-0.0,45.6,51.469,0.0,0.0,3.70
0.900,STOCK (your sticks),0,0.0,0.0,-0.0,46.8,51.469,0.0,0.0,3.70
0.924,STOCK (your sticks),0,0.0,0.0,-0.0,48.0,51.469,0.0,0.0,3.70
0.946,STOCK (your sticks),0,0.0,0.0,-0.0,49.2,51.469,0.0,0.0,3.70
0.970,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,51.469,0.0,0.0,3.70
0.991,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,51.469,0.0,0.0,3.70
1.014,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,51.469,0.0,0.0,3.70
1.040,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,51.617,0.0,0.0,3.70
1.062,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,51.614,0.0,0.0,3.70
1.082,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,51.614,0.0,0.0,3.70
1.107,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,51.614,0.0,0.0,3.70
1.131,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,51.614,0.0,0.0,3.70
1.156,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,51.553,0.0,0.0,3.70
1.180,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,51.553,0.0,0.0,3.70
1.204,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,51.553,0.0,0.0,3.70
1.225,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,51.553,0.0,0.0,3.70
1.248,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,51.553,0.0,0.0,3.70
1.273,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,51.553,0.0,0.0,3.70
1.298,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,51.553,0.0,0.0,3.70
1.323,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,51.553,0.0,0.0,3.70
1.346,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,51.654,0.0,0.0,3.70
1.371,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,51.654,0.0,0.0,3.70
1.393,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,51.654,0.0,0.0,3.70
1.414,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,51.654,0.0,0.0,3.70
1.438,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,51.654,0.0,0.0,3.70
1.459,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,51.654,0.0,0.0,3.70
1.480,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,51.654,0.0,0.0,3.70
1.505,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,51.654,0.0,0.0,3.70
