timestep,walltime_sec,ep_rew_mean,ep_len_mean
20480,3.48,168.5420,82.01
40960,7.73,178.4208,85.41
61440,11.96,175.4042,87.57
81920,16.45,188.2170,86.52
102400,20.87,195.2287,91.11
122880,25.77,205.4530,93.94
143360,30.09,211.8038,97.11
163840,34.11,214.2656,99.32
184320,38.03,219.5584,100.59
204800,41.93,239.9367,101.78
225280,46.15,236.5737,105.94
245760,50.15,247.0261,108.95
266240,54.27,266.1078,115.64
286720,58.35,268.9170,117.24
307200,62.57,273.3597,117.67
327680,66.86,289.1083,125.63
348160,70.78,292.0592,127.36
368640,74.58,313.5165,132.63
389120,78.49,296.0297,133.93
409600,82.30,318.0510,140.13
430080,86.34,314.9726,139.29
450560,90.20,350.7104,156.05
471040,94.13,346.1826,156.09
491520,97.83,395.3568,172.05
512000,101.61,368.1327,169.03
532480,106.09,410.9172,186.07
552960,110.11,408.7052,178.12
573440,113.96,474.9627,203.02
593920,117.77,439.7325,196.33
614400,121.88,451.8756,208.61
634880,126.58,418.5659,189.80
655360,130.94,487.4025,233.57
675840,135.12,541.3147,240.25
696320,139.38,536.5143,241.48
716800,143.87,523.2120,242.48
737280,148.58,509.0905,231.07
757760,153.43,528.5177,247.72
778240,158.08,591.4489,280.16
798720,163.14,595.6243,276.76
819200,168.18,564.7065,254.41
839680,173.24,549.4084,249.98
860160,178.30,545.7068,246.95
880640,183.15,507.6556,239.27
901120,188.12,602.1932,278.08
921600,193.03,615.9756,280.00
942080,198.14,618.1868,269.52
962560,203.18,624.7148,275.58
983040,208.94,688.3017,303.93
1003520,214.07,708.9151,298.45
1024000,219.05,657.3668,271.49
1044480,225.13,653.5562,275.97
1064960,230.05,685.4360,283.82
1085440,235.49,649.9096,279.00
1105920,240.54,691.3690,299.15
1126400,245.37,690.7981,283.24
1146880,250.53,714.2383,293.87
1167360,255.36,753.1076,295.53
1187840,260.36,726.6018,294.36
1208320,265.14,772.6249,314.09
1228800,270.05,702.9159,291.83
1249280,275.25,661.8959,280.09
1269760,280.15,666.6137,282.41
1290240,285.02,699.2397,291.54
1310720,289.84,738.2090,306.70
1331200,294.77,708.3440,286.63
1351680,299.74,720.5875,295.69
1372160,304.49,865.4340,334.35
1392640,309.41,881.5687,339.90
1413120,314.17,808.5761,312.70
1433600,318.99,863.3101,330.96
1454080,323.89,782.8378,311.39
1474560,328.84,824.9314,347.72
1495040,333.75,731.3562,303.04
1515520,338.58,725.0242,294.57
1536000,344.68,828.4304,322.19
1556480,352.04,923.2043,356.14
1576960,357.35,908.5810,338.51
1597440,362.37,827.7636,326.53
1617920,367.17,865.8216,348.51
1638400,371.92,872.3452,348.04
1658880,377.02,897.4472,350.55
1679360,382.21,793.6792,309.72
1699840,387.20,813.1044,318.32
1720320,392.09,932.9039,367.89
1740800,397.00,916.6398,355.32
1761280,401.92,927.4774,353.81
1781760,406.90,799.0027,311.06
1802240,411.61,759.2193,315.10
1822720,416.68,854.0806,326.06
1843200,421.84,796.2082,306.82
1863680,427.06,805.9058,318.89
1884160,431.92,903.1794,350.85
1904640,436.79,954.0897,360.01
1925120,441.72,1003.0120,373.71
1945600,446.59,946.5339,346.86
