timestep,walltime_sec,ep_rew_mean,ep_len_mean
20480,2.57,154.6849,80.99
40960,5.86,154.7382,79.93
61440,9.14,159.3459,81.91
81920,12.37,164.7643,82.92
102400,15.75,166.6368,84.01
122880,19.51,176.9413,88.25
143360,23.00,176.9806,88.01
163840,26.48,171.4855,85.88
184320,29.90,183.5528,92.69
204800,33.26,192.8457,96.92
225280,36.99,203.6202,101.94
245760,41.16,221.9631,110.56
266240,44.77,230.5488,114.39
286720,47.94,246.0765,121.32
307200,51.09,244.3716,122.40
327680,54.39,261.3239,129.46
348160,57.58,259.6641,130.66
368640,60.83,272.6157,135.11
389120,63.99,273.9860,133.62
409600,67.15,292.4490,139.17
430080,70.56,292.2953,139.45
450560,73.76,303.4870,144.05
471040,76.96,330.4720,150.38
491520,80.15,328.1106,151.46
512000,83.31,335.2368,152.84
532480,89.09,346.3498,157.83
552960,92.30,338.1596,154.77
573440,95.54,333.9724,153.19
593920,98.74,347.2785,158.36
614400,101.94,352.9027,159.47
634880,105.34,363.9369,160.76
655360,108.53,364.5634,160.09
675840,111.75,351.4067,156.96
696320,115.08,364.9529,162.56
716800,118.31,396.5402,167.62
737280,121.69,386.0226,166.74
757760,124.94,388.8992,166.14
778240,128.13,400.7751,169.30
798720,131.34,420.3813,177.13
819200,134.59,414.8309,172.59
839680,137.86,401.6913,169.64
860160,141.09,425.8236,173.18
880640,144.38,409.9815,172.05
901120,147.87,452.1425,181.45
921600,151.05,432.7385,179.36
942080,154.30,466.4857,186.24
962560,157.50,434.3698,177.99
983040,160.69,464.3594,187.56
1003520,163.85,455.5951,185.28
1024000,167.01,455.0003,181.94
1044480,175.33,469.0072,185.14
1064960,178.44,459.7775,183.35
1085440,181.48,447.7396,180.56
1105920,184.61,470.0757,189.51
1126400,187.77,456.9123,186.55
1146880,191.18,486.1013,184.75
1167360,194.38,498.4073,188.30
1187840,197.56,487.1567,189.72
1208320,200.80,478.9611,189.54
1228800,204.03,521.8446,198.25
1249280,207.41,511.8521,192.11
1269760,210.67,490.3733,190.53
1290240,213.82,483.9148,189.90
1310720,217.05,493.5752,192.22
1331200,220.27,506.5938,190.08
1351680,223.61,500.6402,192.78
1372160,226.80,500.6025,193.94
1392640,229.98,493.6461,190.67
1413120,233.23,515.4758,199.68
1433600,236.45,520.3574,197.00
1454080,239.79,509.7570,197.82
1474560,242.97,495.8828,194.87
1495040,246.16,507.6197,194.93
1515520,249.41,514.5914,195.15
1536000,252.71,519.7442,198.48
1556480,259.18,503.5380,193.20
1576960,262.35,498.6612,197.82
1597440,265.56,495.3171,193.94
1617920,268.82,508.4608,196.47
1638400,272.05,509.8711,195.62
1658880,275.37,521.3219,198.35
1679360,278.55,534.7565,200.96
1699840,281.70,524.4061,196.84
1720320,284.98,503.3124,197.06
1740800,288.15,524.0611,201.41
1761280,291.49,531.3258,202.92
1781760,294.75,522.3937,198.00
1802240,297.94,528.3651,196.29
1822720,301.14,547.3242,205.17
1843200,304.42,529.5471,200.69
1863680,307.86,533.0839,199.50
1884160,311.22,535.6796,195.50
1904640,314.59,529.7070,200.82
1925120,317.91,532.3308,201.92
1945600,321.22,534.7308,204.43
1966080,324.75,522.6522,196.95
1986560,328.12,548.0285,200.14
2007040,331.48,552.9447,203.23
2027520,334.85,550.2724,203.44
2048000,338.24,548.1443,202.15
2068480,348.89,548.4645,199.81
2088960,352.01,523.9182,198.89
2109440,355.41,539.9533,201.60
2129920,358.93,564.6967,200.94
2150400,362.53,542.2214,198.82
2170880,366.22,525.7782,199.54
2191360,369.85,569.9585,203.65
2211840,373.55,557.7741,203.78
2232320,377.56,533.0168,197.41
2252800,381.33,575.2067,207.36
2273280,385.22,565.0202,201.51
2293760,388.91,553.2417,201.44
2314240,392.74,575.4544,204.16
2334720,396.53,554.6371,200.72
2355200,400.25,585.4563,203.85
2375680,404.12,583.9122,203.13
2396160,407.84,582.7754,204.83
2416640,411.57,595.2853,206.61
2437120,415.45,570.5195,206.04
2457600,419.17,584.3945,203.56
2478080,422.99,607.1003,205.57
2498560,426.76,603.3658,206.17
2519040,430.49,599.1469,204.76
2539520,434.34,596.0792,209.17
2560000,438.00,613.2118,206.01
2580480,446.06,625.1863,209.72
2600960,449.90,601.1915,206.91
2621440,453.69,612.9313,207.62
2641920,457.53,632.7638,209.32
2662400,461.31,611.9277,208.07
2682880,465.35,607.3795,204.99
2703360,469.17,633.6724,205.60
2723840,473.02,626.9415,204.42
2744320,476.90,645.7695,212.87
2764800,480.76,661.5202,209.42
2785280,484.73,640.9522,206.48
2805760,488.45,628.6040,208.46
2826240,492.33,642.0121,209.45
2846720,496.16,625.3323,208.58
2867200,499.94,631.3770,208.65
2887680,503.91,638.8789,204.68
2908160,507.82,627.3833,208.63
2928640,511.67,621.6077,206.52
2949120,515.52,611.6897,206.36
2969600,519.40,629.0079,206.56
2990080,523.38,645.7768,208.47
3010560,527.38,645.7770,208.90
