controller,dr_level,success_pct,crash_pct,att_deg,final_omega,effort,reward
PID,0.0,100.00,0.00,0.817,0.2442,1.434,6444.2
PID,0.25,100.00,0.00,1.307,0.4114,2.304,6316.0
PID,0.5,95.00,0.00,2.793,0.5470,3.778,6074.3
PID,0.75,55.00,20.00,13.558,4.6078,5.041,4561.7
PID,1.0,25.00,65.00,28.399,13.7367,3.510,2101.4
ppo_shaped_best,0.0,100.00,0.00,0.356,0.1684,1.873,6745.4
ppo_shaped_best,0.25,100.00,0.00,0.612,0.3772,2.885,6677.1
ppo_shaped_best,0.5,25.00,75.00,96.534,26.0341,2.898,1764.6
ppo_shaped_best,0.75,10.00,90.00,73.689,31.8752,2.624,731.0
ppo_shaped_best,1.0,5.00,95.00,86.983,37.1247,2.375,419.5
ppo_adr_best,0.0,100.00,0.00,0.274,0.1076,1.486,6863.8
ppo_adr_best,0.25,100.00,0.00,0.537,0.2237,1.647,6858.4
ppo_adr_best,0.5,95.00,0.00,1.091,0.4584,3.225,6524.8
ppo_adr_best,0.75,15.00,75.00,39.372,30.0470,2.786,1682.3
ppo_adr_best,1.0,10.00,80.00,47.236,18.5186,2.828,1304.4
ppo_adr_robust,0.0,100.00,0.00,0.292,0.1072,1.498,6718.0
ppo_adr_robust,0.25,95.00,5.00,2.420,0.6201,1.678,6454.3
ppo_adr_robust,0.5,95.00,0.00,0.895,0.3450,3.156,6500.9
ppo_adr_robust,0.75,35.00,65.00,32.655,23.5162,2.692,2280.0
ppo_adr_robust,1.0,10.00,85.00,49.786,28.4879,2.720,1065.8
ppo_final,0.0,100.00,0.00,0.331,0.0970,1.926,6345.4
ppo_final,0.25,100.00,0.00,0.760,0.2495,1.791,6616.3
ppo_final,0.5,95.00,0.00,1.067,0.3154,2.467,6585.4
ppo_final,0.75,40.00,50.00,32.874,13.3492,4.363,3135.1
ppo_final,1.0,40.00,60.00,40.691,12.9898,3.302,2550.0
